quarter,toa_group,count_all,count_female,pct_female
1998-09,all-permanent,1556531,667289,42.87026728025333
1998-09,midlevel-appointees,1999,1009,50.4752376188094
1999-09,all-permanent,1536156,660663,43.00754610859835
1999-09,midlevel-appointees,2025,1018,50.27160493827161
2000-09,all-permanent,1524883,658788,43.20252766933594
2000-09,midlevel-appointees,1826,933,51.09529025191676
2001-09,all-permanent,1536627,666477,43.37272480569455
2001-09,midlevel-appointees,1211,505,41.70107349298101
2002-09,all-permanent,1579254,682586,43.22205294398494
2002-09,midlevel-appointees,2006,804,40.07976071784646
2003-09,all-permanent,1582636,685727,43.32815631642399
2003-09,midlevel-appointees,2127,836,39.30418429713211
2004-09,all-permanent,1602773,691706,43.156828821049515
2004-09,midlevel-appointees,2209,864,39.11272068809416
2005-09,all-permanent,1611400,693835,43.0578999627653
2005-09,midlevel-appointees,2235,869,38.88143176733781
2006-09,all-permanent,1608157,692179,43.041755251508405
2006-09,midlevel-appointees,2246,877,39.047195013357076
2007-09,all-permanent,1618159,697592,43.110225880151454
2007-09,midlevel-appointees,2315,933,40.30237580993521
2008-09,all-permanent,1673249,725428,43.35445591182185
2008-09,midlevel-appointees,2138,838,39.1955098222638
2009-09,all-permanent,1757105,763181,43.43400081383867
2009-09,midlevel-appointees,1767,866,49.009620826259194
2009-12,all-permanent,1777356,770662,43.360024665851974
2009-12,midlevel-appointees,1943,949,48.841996911991764
2010-03,all-permanent,1784055,773211,43.34008760940666
2010-03,midlevel-appointees,2012,980,48.70775347912525
2010-06,all-permanent,1805245,780924,43.25861586654443
2010-06,midlevel-appointees,2101,1014,48.26273203236554
2010-09,all-permanent,1831719,791124,43.190249159396174
2010-09,midlevel-appointees,2136,1039,48.642322097378276
2010-12,all-permanent,1849354,798100,43.15561001300995
2010-12,midlevel-appointees,2154,1054,48.9322191272052
2011-03,all-permanent,1852519,798557,43.106548434860855
2011-03,midlevel-appointees,2173,1065,49.010584445467096
2011-06,all-permanent,1854973,798236,43.03221664142821
2011-06,midlevel-appointees,2161,1052,48.68116612679315
2011-09,all-permanent,1856580,796627,42.908304516907435
2011-09,midlevel-appointees,2107,1030,48.88467014712862
2011-12,all-permanent,1849768,792302,42.832506562985195
2011-12,midlevel-appointees,2094,1022,48.80611270296084
2012-03,all-permanent,1844485,789543,42.80560698514761
2012-03,midlevel-appointees,2117,1044,49.31506849315068
2012-06,all-permanent,1844059,788180,42.741582563247704
2012-06,midlevel-appointees,2088,1029,49.2816091954023
2012-09,all-permanent,1850311,790085,42.70011906106595
2012-09,midlevel-appointees,2082,1039,49.90393852065322
2012-12,all-permanent,1854266,791318,42.67553846104065
2012-12,midlevel-appointees,2029,1015,50.02464268112371
2013-03,all-permanent,1845282,787701,42.68729657580793
2013-03,midlevel-appointees,1921,977,50.8589276418532
2013-06,all-permanent,1837038,783943,42.67429416266838
2013-06,midlevel-appointees,1917,966,50.39123630672926
2013-09,all-permanent,1831723,781268,42.652082219855295
2013-09,midlevel-appointees,1933,984,50.90532850491464
2013-12,all-permanent,1828092,779531,42.641781704640685
2013-12,midlevel-appointees,1959,1007,51.403777437468094
2014-03,all-permanent,1812544,772620,42.62627555524169
2014-03,midlevel-appointees,1986,1023,51.51057401812689
2014-06,all-permanent,1816252,773630,42.59486018459994
2014-06,midlevel-appointees,1983,1016,51.235501765002525
2014-09,all-permanent,1825762,777455,42.58249432291832
2014-09,midlevel-appointees,2069,1054,50.942484291928466
2014-12,all-permanent,1828217,777572,42.53171259210477
2014-12,midlevel-appointees,2143,1119,52.216518898740084
2015-03,all-permanent,1822710,775332,42.537320802541274
2015-03,midlevel-appointees,2204,1163,52.76769509981851
2015-06,all-permanent,1833620,779579,42.51584297727992
2015-06,midlevel-appointees,2210,1162,52.57918552036199
2015-09,all-permanent,1848494,786816,42.5652450048526
2015-09,midlevel-appointees,2242,1165,51.962533452274755
2015-12,all-permanent,1856870,790645,42.57944821123719
2015-12,midlevel-appointees,2283,1194,52.299605781865964
2016-03,all-permanent,1847116,785981,42.55179425655996
2016-03,midlevel-appointees,2271,1201,52.88419198590929
2016-06,all-permanent,1857544,790027,42.53072874720599
2016-06,midlevel-appointees,2273,1205,53.013638363396396
2016-09,all-permanent,1868027,794218,42.51640902406657
2016-09,midlevel-appointees,2251,1190,52.86539315859618
2016-12,all-permanent,1878935,799257,42.53776740547172
2016-12,midlevel-appointees,2173,1147,52.784169351127474
2017-03,all-permanent,1876163,799476,42.612289017532056
2017-03,midlevel-appointees,722,273,37.81163434903047
2017-06,all-permanent,1874060,798257,42.595060990576606
2017-06,midlevel-appointees,1045,394,37.70334928229665
2017-09,all-permanent,1869986,796762,42.607912572607496
2017-09,midlevel-appointees,1301,489,37.58647194465796
